dataset,kernel,protocol,n_seeds,recall_2p_mean,recall_2p_std,recall_5p_mean,recall_5p_std,spearman_mean,spearman_std,budget_pct
4fqi_h3,tanimoto,ei,3,1.0,0.0,0.9489,0.0049,0.5396,0.0001,9.99
4fqi_h3,tanimoto,pi,3,0.6654,0.0198,0.317,0.0093,0.5241,0.0046,9.99
4fqi_h3,tanimoto,random,3,0.0984,0.0075,0.0961,0.0014,0.539,0.0005,9.99
4fqi_h3,matern,ucb,3,1.0,0.0,0.9946,0.0005,0.5321,0.0006,9.99
4fqi_h3,matern,ei,3,1.0,0.0,0.9852,0.0033,0.5351,0.0003,9.99
4fqi_h3,matern,pi,3,0.7363,0.4567,0.6963,0.5084,0.5215,0.0223,9.99
4fqi_h3,matern,random,3,0.0984,0.0075,0.0961,0.0014,0.5364,0.0003,9.99
4fqi_h3,rbf,ucb,3,1.0,0.0,0.9932,0.0003,0.5236,0.0025,9.99
4fqi_h3,rbf,ei,3,1.0,0.0,0.9823,0.0024,0.5333,0.0005,9.99
4fqi_h3,rbf,pi,3,1.0,0.0,0.9884,0.0049,0.529,0.0026,9.99
4fqi_h3,rbf,random,3,0.0984,0.0075,0.0961,0.0014,0.5365,0.0007,9.99
4fqi_h3,rq,ucb,3,1.0,0.0,0.9992,0.0002,0.5378,0.0003,9.99
4fqi_h3,rq,ei,3,1.0,0.0,0.9905,0.002,0.5396,0.0001,9.99
4fqi_h3,rq,pi,3,0.716,0.4477,0.4507,0.3053,0.5228,0.0146,9.99
4fqi_h3,rq,random,3,0.0783,0.0276,0.077,0.0335,0.5359,0.0025,9.99
